Industry/ Year,Quarter,Month,"Agriculture, Forestry and Fishing ",Mining & Quarrying,Manufacturing,"Electricity, Gas, Water Supply & Other Utility",Construction,"Trade, Hotels, Transport, Communication and Services Related to Broadcasting","Financial, Real Estate and Professional Services","Public Administration, Defence and Other Services",Total Gross Value Added at Basic Price
2018-19,Q3,31-Dec-18,592114.9268,80276.72475,563029.3515,72791.51775,260461.6199,620292.0437,587988.538,419392.0031,3196346.726
2018-19,Q4,31-Mar-19,494437.4797,97778.36742,616443.9964,71048.73903,275363.5745,694147.8983,601548.1056,419185.2475,3269953.408
2019-20   ,Q1,30-Jun-19,449389.7553,82913.54153,567516.4326,79653.92379,260099.297,664310.6235,802241.4294,399147.7088,3305272.712
2019-20,Q2,30-Sep-19,378601.6891,64905.16492,564742.1909,77468.74897,241188.3996,638064.8778,862867.1192,443615.0815,3271453.272
2019-20,Q3,31-Dec-19,612460.0949,77427.43706,546579.6596,70511.62481,257009.8701,663688.0649,620489.8936,456723.0639,3304889.709
2019-20,Q4,31-Mar-20,528119.3476,96870.09927,590586.0315,72897.59948,277236.2365,733733.696,630910.5877,459501.5263,3389855.124
2020-21   ,Q1,30-Jun-20,465279.5832,68679.88526,363447.8932,71800.35477,131439.2046,345098.5517,761791.3342,358372.5191,2565909.326
2020-21,Q2,30-Sep-20,390105.8947,60671.22063,556233.4787,79241.76092,223772.9323,535233.6587,784328.6496,402697.092,3032284.688
2020-21,Q3,31-Dec-20,640190.8283,73990.0914,555883.6614,75650.98716,273670.2169,611247.7947,661868.1479,446770.6844,3339272.412
2020-21,Q4,31-Mar-21,544502.8885,91303.06609,631502.6366,79560.67833,317514.1435,716807.747,664827.1799,469945.0594,3515963.399
2020-21,Q1,30-Jun-21,486292.2931,81444.2845,543821.2682,82042.17769,221255.5469,463525.279,789929.3942,379205.3448,3047515.588
2020-21,Q2,30-Sep-21,407640.6354,70021.52469,586774.7019,86329.84504,240527.8671,579112.5787,845467.9951,472860.9456,3288736.094
